pl_name,hostname,pl_letter,discoverymethod,pl_orbper,pl_rade,pl_masse,st_teff,st_rad,st_mass
"Kepler-6 b","Kepler-6","b","Transit",3.23469439654,13.31600225,,5613.00,1.314740,
"Kepler-6 b","Kepler-6","b","Transit",3.23469940000,13.10332100,205.63601000,5647.00,1.261000,1.114000
"Kepler-6 b","Kepler-6","b","Transit",3.23469960000,14.61653600,212.31044000,5647.00,1.391000,1.209000
"Kepler-6 b","Kepler-6","b","Transit",3.23469955000,11.07000000,,5826.00,1.082000,1.138000
"Kepler-6 b","Kepler-6","b","Transit",3.23469931200,13.41000000,,5640.00,1.291000,1.047000
"Kepler-6 b","Kepler-6","b","Transit",3.23469931200,13.41000000,,5640.00,1.291000,1.047000
"Kepler-6 b","Kepler-6","b","Transit",3.23469931200,13.10100000,,5660.00,1.261000,1.090000
"Kepler-6 b","Kepler-6","b","Transit",3.23469928200,,,5613.00,1.314740,0.990000
"Kepler-6 b","Kepler-6","b","Transit",,12.90200000,,5660.00,1.275000,
"Kepler-6 b","Kepler-6","b","Transit",3.23469900000,,,5647.00,1.391000,1.209000
"Kepler-6 b","Kepler-6","b","Transit",3.23469939530,,,5613.00,1.314740,0.990000
"Kepler-6 b","Kepler-6","b","Transit",3.23469931200,13.41000000,,5640.00,1.291000,1.047000
"Kepler-6 b","Kepler-6","b","Transit",3.23470200000,13.10332100,201.18639000,5647.00,1.261000,1.114000
"Kepler-6 b","Kepler-6","b","Transit",3.23472300000,14.83000000,212.61900000,5647.00,1.391000,1.209000
"Kepler-6 b","Kepler-6","b","Transit",3.23469918000,,,5613.00,1.314740,0.990000
"Kepler-6 b","Kepler-6","b","Transit",3.23469928200,13.06000000,,5640.00,1.291000,1.047000
"Kepler-6 b","Kepler-6","b","Transit",3.23469930000,,,5647.00,1.391000,1.209000
"Kepler-6 b","Kepler-6","b","Transit",3.23469931200,13.38000000,,5690.00,1.290000,1.050000
"Kepler-491 b","Kepler-491","b","Transit",4.22538451200,8.54700000,,5522.00,0.984000,1.044000
"Kepler-491 b","Kepler-491","b","Transit",4.22538411120,,,5501.00,1.031220,0.960000
"Kepler-491 b","Kepler-491","b","Transit",4.22538451200,9.16000000,,5649.00,1.055000,1.071000
"Kepler-491 b","Kepler-491","b","Transit",4.22538454300,9.00000000,,5574.00,1.054000,1.025000
"Kepler-491 b","Kepler-491","b","Transit",4.22534982536,8.88931966,,5501.00,1.031220,
"Kepler-491 b","Kepler-491","b","Transit",4.22538451200,8.92000000,,5582.00,1.030000,1.040000
"Kepler-491 b","Kepler-491","b","Transit",,8.52300000,,5522.00,0.998000,
"Kepler-491 b","Kepler-491","b","Transit",4.22538451200,9.16000000,,5649.00,1.055000,1.071000
"Kepler-491 b","Kepler-491","b","Transit",4.22538454300,,,5501.00,1.031220,0.960000
"Kepler-491 b","Kepler-491","b","Transit",4.22538460000,10.00000000,,5541.00,1.170000,1.047000
"Kepler-491 b","Kepler-491","b","Transit",4.22538451200,9.16000000,,5649.00,1.055000,1.071000
